제목,발행년도,작가,출판사,별점
Who I Am: A dark psychological thriller with a stunning twist,2018,Sarah Simpson,"Aria; 1st edition (November 6, 2018)",3.8
Murdered Twice,2015,Linda Heavner Gerald,"Lime Pie Publishers (October 3, 2015)",3.9
The Tinder Box,2011,Minette Walters,"Pan; New Edit/Cover edition (November 11, 2011)",3.6
The Civil War: A Narrative: Volume 3: Red River to Appomattox (Vintage Civil War Library),2011,Shelby Foote,"Vintage (January 26, 2011)",4.8
She Had Some Horses: Poems,2008,Joy Harjo,"W. W. Norton & Company (December 17, 2008)",4.6
Beyond the Shadow of Camptown: Korean Military Brides in America (Nation of Nations Book 25),2002,Ji-Yeon Yuh,"NYU Press (July 1, 2002)",4.3
Daniel's Day at the Beach,2015,Becky Friedman,"Simon Spotlight; Brdbk edition (May 5, 2015)",4.8
Invitation to Death,2013,Jackie Ullerich,"Brighton Publishing LLC; 1st edition (January 19, 2013)",4.0
Encyclopedia of Antique American Clocks,2004,Robert W. Swedberg,"Krause Publications; Second edition (May 28, 2004)",4.5
The Ultimate Teenager's Guide to Success: Transformation Through Self-Education,2020,Lewis Carmichael,"Writer's Publishing House; 1st edition (January 31, 2020)",5.0
The Cloud,2010,Zephyrus White,"WorldMaker Media; 1st edition (September 28, 2010)",3.9
"Yes, I Would...: An American Woman's Letters to Turkey",2010,Katharine Branning,"Blue Dome Press; Illustrated edition (August 16, 2010)",4.6
Buddy's Bedtime Battery (Growing with Buddy Book 1),2016,Tim Bowers,"Random House Books for Young Readers (September 27, 2016)",4.7
"System Center 2012 R2 Configuration Manager: Mastering the Fundamentals, 3rd Edition",2014,Kent Agerlund,"Deployment Artist (August 13, 2014)",4.3
Alien vs. Predator (Penguin Poets),2012,Michael Robbins,"Penguin Books (March 27, 2012)",4.2
Upstage Your Neighbors: A Guide for Preparing Your Home to Sell,2010,Patrick S. Tremblay,"Tremblay House Publication; 1st edition (March 20, 2010)",3.4
Ecology of a Cracker Childhood,1999,Janisse Ray,"Milkweed Editions (October 1, 1999)",4.5
The Runaway Sister (The Kat Eland Series),2022,Ava Page,"La Jolla Press (December 2, 2022)",5.0
The Mammoth Book of Arthurian Legends (Mammoth Books 162),2014,Michael Ashley,"Mammoth (February 20, 2014)",4.5
"Capital Dames: The Civil War and the Women of Washington, 1848-1868",2015,Cokie Roberts,"Harper; Illustrated edition (April 14, 2015)",4.2
The Biker's Plaything (Straight to Hell MC Book 1),2021,Stacey Espino,"Evernight Publishing (March 29, 2021)",4.3
Edisto: A Novel,2013,Padgett Powell,"Open Road Media; New edition (September 10, 2013)",3.7
"Love, Loss, and What I Wore",2005,Ilene Beckerman,"Algonquin Books; Reprint edition (April 8, 2005)",3.8
Dead Water,2010,Scott M. Baker,"Keith Publications, LLC (November 5, 2010)",4.4
"Practical Packet Analysis, 3rd Edition: Using Wireshark to Solve Real-World Network Problems",2017,Chris Sanders,"No Starch Press; 3rd edition (March 30, 2017)",4.8
Winner Takes All: How Casino Mogul Steve Wynn Won and Lost the High Stakes Gamble to Own Las Vegas,2018,Christina Binkley,"Hachette Books (November 6, 2018)",4.4
"The Karla Trilogy Digital Collection Featuring George Smiley: Tinker, Tailor, Soldier, Spy, The Honourable Schoolboy, Smiley's People",2011,John le Carré,"Penguin Books (December 6, 2011)",4.6
The Photographer's Eye Digitally Remastered 10th Anniversary Edition: Composition and Design for Better Digital Photos,2017,Michael Freeman,"Routledge; 1st edition (December 14, 2017)",4.4
In the Hands of the Unknown (The Field Researcher Universe),2014,A.E. Hellstorm,"Hellhag Productions (October 20, 2014)",3.7
According to Plan,2014,Rob Kovitz,"Treyf Books (November 4, 2014)",1.9
They Tell Me You Are Wicked (Duncan Cochrane Book 1),2015,David Hagerty,"Evolved Publishing LLC; 1st edition (August 22, 2015)",3.6
Chopping Wood Tips For The Homeowner,2014,Alan Jackson,"Alan Jackson (January 17, 2014)",3.9
"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, & Emerged Triumphant from Two Centuries of C",2011,Sharon Bertsch McGrayne,"Yale University Press (May 17, 2011)",4.2
The Metronome (The Counterpoint Trilogy Book 1),2014,D.R. Bell,"D. R. Bell (August 19, 2014)",4.1
Dark Horse (The Kingmaker Saga Book 5),2019,London Miller,"LM BOOKS, LLC (December 28, 2019)",4.7
The Original Sin,2015,Marius Gabriel,"Pulp Fiction (September 14, 2015)",4.3
Bad Medicine: A Medical Thriller (Brad Parker and Karen Richmond Medical Thrillers),2021,Geoffrey M. Cooper,"Maine Authors Publishing (February 17, 2021)",4.4
"Sex, Drugs, and Tae Kwon Do: A True Story of Murder, Drugs, and a Misguided Teen",2015,John Graden,"Seconds Out, Inc.; 3rd edition (November 28, 2015)",4.7
Tao Te Ching,2020,Ancient Renewal,"Ancient Renewal (March 5, 2020)",4.7
The Devil's Own Work (Valancourt 20th Century Classics),2015,Alan Judd,"Valancourt Books (January 6, 2015)",4.0
Harry's Game - Winds of Change,2022,Karl Jackson,"Alpaca & Goose; 1st edition (May 10, 2022)",5.0
A Case of Identity - Annotated Version (Focus on Sherlock Holmes Book 3),2011,Arthur Conan Doyle,"Solis Press (September 25, 2011)",3.9
The Book of Stone: A Novel,2015,Jon Papernick,"Fig Tree Books LLC (May 12, 2015)",3.7
Patina Living,2019,Brooke Giannetti,"Gibbs Smith (June 4, 2019)",4.8
Crave (Trojans MC Book 8),2017,Sam Crescent,"Evernight Publishing (November 18, 2017)",4.5
Blood of Vipers,2012,Michael Wallace,"Balsalom Publishing (October 17, 2012)",3.8
Fragile Lives: A Heart Surgeon’s Stories of Life and Death on the Operating Table,2017,Stephen Westaby,"HarperCollins; First Edition (February 9, 2017)",4.6
Rose of No Mans Land,2009,Michelle Tea,"MP Publishing Limited (August 6, 2009)",3.7
The 12 Days of Christmas (Xist Children's Books),2015,Xist Publishing,"Xist Publishing (April 15, 2015)",4.2
Innocent Blood: A Novel,2010,Christopher Dickey,"Simon & Schuster (October 12, 2010)",4.3
"“If We Are Striking for Pennsylvania”: The Army of Northern Virginia and the Army of the Potomac March to Gettysburg - Volume 1: June 3–21, 1863",2022,Eric J. Wittenberg,"Savas Beatie (August 26, 2022)",4.8
The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,2013,Irvin D. Yalom,"Harper Perennial; 1st edition (May 21, 2013)",4.8
The Great Reset: Joe Biden and the Rise of Twenty-First-Century Fascism,2022,Justin Trask Haskins,"Forefront Books (January 11, 2022)",4.8
Get Your Spirit On! - Devotions for Cheerleaders,2018,Michelle Medlock Adams,"SonRise Devotionals (March 27, 2018)",4.8
A Healing Justice,2018,Kristin Von Kreisler,"Kensington Books (September 25, 2018)",4.5
Soul Activism: A Way Through the Struggle of Opposites (School of Spiritual Psychology Archives Book 1),2016,Robert Sardello,"Goldenstone Press (December 20, 2016)",4.0
Echoes: A Novel,2009,Danielle Steel,"Dell; Reprint edition (February 20, 2009)",4.6
Adeline,2019,Mark Torres,"Indie Owl Press (June 28, 2019)",4.5
Spell Bound (An Otherworld Novel Book 12),2011,Kelley Armstrong,"Dutton; 1st edition (July 26, 2011)",4.5
The Best of Men,2010,Claire Letemendia,"Emblem Editions (May 11, 2010)",4.0
Murder Must Advertise: Classic crime fiction at its best (Lord Peter Wimsey Series Book 10),2009,Dorothy L. Sayers,"Hodder & Stoughton (October 15, 2009)",4.4
"Home Front Trilogy - Three Novels of Love, War, and Family",2017,Barbara Bretton,"Free Spirit Press (June 4, 2017)",4.6
Prairie Gothic: Photographs by George Webber,2013,George Webber,"RMB | Rocky Mountain Books (January 1, 2013)",4.0
The Chef's Apprentice: A Novel,2008,Elle Newmark,"Atria Books; Reissue edition (December 20, 2008)",4.4
"Wounds of the Father: A True Story of Child Abuse, Betrayal, and Redemption",2015,Elizabeth Garrison,"Blueprint Press (February 4, 2015)",4.4
"Troubleshooting Automotive Computer Systems Second Edition: Automotive Computers, Sensors & Network",2015,Happyson Gavi,"Happyson Gavi; Second Edition (December 22, 2015)",4.2
Blood Lines: An absolutely gripping thriller that will have you hooked (Detective Kim Stone Crime Thriller Series Book 5),2016,Angela Marsons,"Bookouture (November 4, 2016)",4.4
Until the Sun Falls: A Novel,2014,Cecelia Holland,"Open Road Media (April 1, 2014)",4.1
A More Noble Cause: A. P. Tureaud and the Struggle for Civil Rights in Louisiana,2011,Rachel Lorraine Emanuel,"LSU Press; 1st edition (April 25, 2011)",4.7
The Regrets of Raphael Ernest,2019,Aleks Canard,"Aleks Canard (March 27, 2019)",5.0
Witches And Stitches (Amethyst's Wand Shop Mysteries Book 2),2021,Laura Greenwood,"Twin Souls Publishing (May 1, 2021)",4.5
Bloody Wicked (Wicked Ways Book 4),2020,Audrey Brice,"Darkerwood Publishing Group LLC (July 19, 2020)",4.7
DMT: The Spirit Molecule: A Doctor's Revolutionary Research into the Biology of Near-Death and Mystical Experiences,2000,Rick Strassman,"Park Street Press (December 1, 2000)",4.7
Extra Innings: Can You Go Home Again?,2018,Don Massenzio,"DSM Publications (June 15, 2018)",4.5
October: The Story of the Russian Revolution,2017,China Miéville,"Verso (May 9, 2017)",4.3
You Kill Me (A Samantha Leiffer Mystery),2009,Alison Gaylin,"Berkley (September 1, 2009)",4.1
Bye Bye Bertie (A Joe LaFlam Mystery),2010,Rick Dewhurst,"Quotidian Books (November 9, 2010)",2.8
Mindy's Fight: My Destination Called Chaos and the Journey to Stillness,2018,Mindy Dougherty,"Traitmarker Books (July 31, 2018)",4.3
"Grave Goods: The Meaning of Stones, Coins, Seashells & Other Items in Historic Cemeteries (Exploring Historic Cemeteries Book 1)",2020,Tui Snider,"Castle Azle Press (May 3, 2020)",4.8
Cityglitter: Destiny Romance,2012,Carla Caruso,"Penguin eBooks (September 15, 2012)",4.7
Manipulation by Degree,2012,Charlie Burnette,"Mint Hill Books Main Street Rag (June 26, 2012)",4.9
Atlas Girl: Finding Home in the Last Place I Thought to Look,2014,Emily Wierenga,"Baker Books (June 24, 2014)",4.4
"Shadow of a Dark Queen (The Serpentwar Saga, Book 1)",2012,Raymond E. Feist,"HarperVoyager (September 13, 2012)",4.6
Death on the Rocks: A Short Read (A Moonlight Bay Psychic Mystery Book 2),2017,K.J. Emrick,"South Coast Publishing; 1st edition (June 12, 2017)",4.6
World of Reading Iron Man 3: Iron Man Fights Back (World of Reading: Level 2),2013,Thomas Macri,"Marvel Press (April 2, 2013)",4.3
"The Story You Need to Tell: Writing to Heal from Trauma, Illness, or Loss",2017,Sandra Marinella,"New World Library (April 14, 2017)",4.6
Damon Blackley: Afreet Series Novel 5,2011,Stephen Huff,"Capital Ideations, LLC; 2nd edition (October 31, 2011)",4.5
The Lotus Eaters: A Novel (Reading Group Gold),2010,Tatjana Soli,"St. Martin's Press; Illustrated edition (March 29, 2010)",4.3
Nice Guys And Players: Becoming The Man Women Want,2015,Rom Wills,"Wills Publishing (June 22, 2015)",4.7
Blood Crown (The Blood Series Book 8),2018,Tamara Rose Blodgett,"T.Rose Press LLC; 1st edition (November 29, 2018)",4.4
"Letters to an Incarcerated Brother: Encouragement, Hope, and Healing for Inmates and Their Loved Ones",2013,Hill Harper,"Avery (November 5, 2013)",4.7
Miss Clucky's Song: A Story About Following Your Dreams for Children Ages 4-8,2021,Davonne Conley,"Blue Palladium (June 30, 2021)",4.8
My Name Is Nathan Lucius,2018,Mark Winkler,"Soho Crime (February 20, 2018)",4.1
